| prod            | month           |    count_1_prod |    count_2_prod |


| Pepsi           | 12              |               0 |               0 |
| Bread           | 5               |               0 |               0 |
| Pepsi           | 1               |               0 |               0 |
| Fruits          | 1               |               0 |               0 |
| Milk            | 11              |               0 |               0 |
| Soap            | 4               |               0 |               0 |
| Eggs            | 11              |               0 |               0 |
| Yogurt          | 7               |               0 |               0 |
| Pepsi           | 3               |               0 |               0 |
| Bread           | 9               |               0 |               0 |
| Cookies         | 11              |               0 |               0 |
| Milk            | 2               |               0 |               0 |
| Coke            | 4               |               0 |               0 |
| Butter          | 7               |               0 |               0 |
| Yogurt          | 10              |               0 |               0 |
| Soap            | 2               |               0 |               0 |
| Coke            | 1               |               0 |               0 |
| Milk            | 8               |               0 |               0 |
| Yogurt          | 2               |               0 |               0 |
| Milk            | 1               |               0 |               0 |
| Eggs            | 12              |               0 |               0 |
| Coke            | 10              |               0 |               0 |
| Milk            | 3               |               0 |               0 |
| Yogurt          | 4               |               0 |               0 |
| Pepsi           | 9               |               0 |               0 |
| Fruits          | 6               |               0 |               0 |
| Yogurt          | 9               |               0 |               0 |
| Pepsi           | 10              |               0 |               0 |
| Cookies         | 8               |               0 |               0 |
| Cookies         | 12              |               0 |               0 |
| Fruits          | 2               |               0 |               0 |
| Coke            | 2               |               0 |               0 |
| Bread           | 6               |               0 |               0 |
| Soap            | 7               |               0 |               0 |
| Soap            | 9               |               0 |               0 |
| Soap            | 5               |               0 |               0 |
| Cookies         | 6               |               0 |               0 |
| Coke            | 5               |               0 |               0 |
| Milk            | 5               |               0 |               0 |
| Milk            | 9               |               0 |               0 |
| Soap            | 1               |               0 |               0 |
| Fruits          | 12              |               0 |               0 |
| Fruits          | 4               |               0 |               0 |
| Milk            | 4               |               0 |               0 |
| Bread           | 12              |               0 |               0 |
| Yogurt          | 1               |               0 |               0 |
| Soap            | 11              |               0 |               0 |
| Fruits          | 8               |               0 |               0 |
| Yogurt          | 3               |               0 |               0 |
| Fruits          | 9               |               0 |               0 |
| Soap            | 6               |               0 |               0 |
| Yogurt          | 6               |               0 |               0 |
| Milk            | 10              |               0 |               0 |
| Butter          | 10              |               0 |               0 |
| Fruits          | 10              |               0 |               0 |
| Fruits          | 11              |               0 |               0 |
| Cookies         | 7               |               0 |               0 |
| Fruits          | 7               |               0 |               0 |
| Pepsi           | 4               |               0 |               0 |
| Soap            | 12              |               0 |               0 |
| Bread           | 11              |               0 |               0 |
| Eggs            | 4               |               0 |               0 |
| Eggs            | 2               |               0 |               0 |
| Butter          | 8               |               0 |               0 |
| Soap            | 10              |               0 |               0 |
| Eggs            | 9               |               0 |               0 |
| Eggs            | 3               |               0 |               0 |
| Fruits          | 5               |               0 |               0 |
| Butter          | 4               |               0 |               0 |
| Butter          | 3               |               0 |               0 |
| Bread           | 10              |               0 |               0 |
| Cookies         | 10              |               0 |               0 |
| Bread           | 1               |               0 |               0 |
| Butter          | 2               |               0 |               0 |
| Butter          | 1               |               0 |               0 |
| Pepsi           | 5               |               0 |               0 |
| Pepsi           | 6               |               0 |               0 |
| Butter          | 11              |               0 |               0 |
| Bread           | 7               |               0 |               0 |
| Pepsi           | 11              |               0 |               0 |
| Bread           | 2               |               0 |               0 |
| Soap            | 3               |               0 |               0 |
| Yogurt          | 8               |               0 |               0 |
| Eggs            | 1               |               0 |               0 |
| Bread           | 3               |               0 |               0 |
| Cookies         | 1               |               0 |               0 |
| Milk            | 6               |               0 |               0 |
| Coke            | 7               |               0 |               0 |
| Yogurt          | 5               |               0 |               0 |
| Fruits          | 3               |               0 |               0 |
| Pepsi           | 8               |               0 |               0 |
| Pepsi           | 2               |               0 |               0 |
| Milk            | 7               |               0 |               0 |
| Eggs            | 7               |               0 |               0 |
| Eggs            | 5               |               0 |               0 |
| Milk            | 12              |               0 |               0 |
| Butter          | 12              |               0 |               0 |
| Coke            | 11              |               0 |               0 |
| Yogurt          | 12              |               0 |               0 |
| Cookies         | 2               |               0 |               0 |
| Pepsi           | 7               |               0 |               0 |
| Eggs            | 6               |               0 |               0 |
| Coke            | 6               |               0 |               0 |
| Butter          | 9               |               0 |               0 |
| Bread           | 4               |               0 |               0 |
| Cookies         | 9               |               0 |               0 |
| Soap            | 8               |               0 |               0 |
| Bread           | 8               |               0 |               0 |
| Coke            | 8               |               0 |               0 |
| Coke            | 12              |               0 |               0 |
| Cookies         | 5               |               0 |               0 |
| Coke            | 9               |               0 |               0 |
| Eggs            | 10              |               0 |               0 |
| Cookies         | 4               |               0 |               0 |
| Butter          | 6               |               0 |               0 |
| Cookies         | 3               |               0 |               0 |
| Eggs            | 8               |               0 |               0 |
