| prod            | month           | year            | (float)sum_1_quant/sum_2_quant |


| Pepsi           | 12              | 1991            |       0.2229598 |
| Bread           | 5               | 1995            |       0.3286537 |
| Pepsi           | 1               | 1996            |      0.52746207 |
| Fruits          | 1               | 1990            |      0.24354757 |
| Milk            | 11              | 1996            |      0.00914435 |
| Soap            | 4               | 1992            |      0.18910898 |
| Eggs            | 11              | 1990            |      0.05817463 |
| Yogurt          | 7               | 1994            |     0.001734871 |
| Pepsi           | 3               | 1992            |       0.2190285 |
| Bread           | 9               | 1995            |     0.003312564 |
| Cookies         | 11              | 1994            |      0.48013407 |
| Milk            | 2               | 1997            |     0.016378526 |
| Coke            | 4               | 1991            |      0.26964575 |
| Butter          | 7               | 1995            |      0.46744868 |
| Yogurt          | 10              | 1995            |     0.045288168 |
| Soap            | 2               | 1991            |     0.012353073 |
| Coke            | 1               | 1993            |      0.24288589 |
| Milk            | 8               | 1991            |      0.09040812 |
| Yogurt          | 2               | 1990            |       0.5248467 |
| Milk            | 1               | 1993            |       0.4669258 |
| Pepsi           | 12              | 1998            |     0.021226108 |
| Eggs            | 12              | 1996            |      0.07494263 |
| Coke            | 10              | 1992            |      0.21330346 |
| Milk            | 3               | 1991            |      0.23169076 |
| Yogurt          | 4               | 1991            |      0.07110769 |
| Milk            | 11              | 1991            |      0.19343503 |
| Yogurt          | 4               | 1995            |       0.4255847 |
| Pepsi           | 9               | 1994            |       0.4795969 |
| Fruits          | 6               | 1995            |       0.0725794 |
| Yogurt          | 9               | 1991            |      0.40649012 |
| Pepsi           | 10              | 1995            |      0.08777293 |
| Cookies         | 8               | 1992            |      0.15228382 |
| Cookies         | 12              | 1994            |      0.09761282 |
| Butter          | 7               | 1990            |      0.27497256 |
| Fruits          | 2               | 1995            |      0.06274206 |
| Coke            | 2               | 1990            |      0.29716337 |
| Bread           | 6               | 1991            |       0.1863824 |
| Soap            | 7               | 1994            |       0.7228089 |
| Coke            | 2               | 1992            |      0.26364258 |
| Soap            | 9               | 1993            |    0.0037535524 |
| Soap            | 5               | 1991            |      0.22168152 |
| Cookies         | 6               | 1997            |      0.21775335 |
| Coke            | 5               | 1995            |      0.39207113 |
| Milk            | 5               | 1991            |       0.2596438 |
| Milk            | 9               | 1998            |      0.16684051 |
| Yogurt          | 2               | 1994            |      0.09184611 |
| Coke            | 10              | 1998            |      0.24244902 |
| Soap            | 1               | 1995            |      0.27376089 |
| Fruits          | 12              | 1996            |      0.27588707 |
| Fruits          | 4               | 1997            |      0.34003475 |
| Eggs            | 11              | 1996            |     0.059327252 |
| Milk            | 9               | 1990            |      0.19059107 |
| Milk            | 4               | 1993            |      0.24404803 |
| Bread           | 12              | 1995            |      0.16334096 |
| Yogurt          | 1               | 1995            |      0.14225449 |
| Soap            | 11              | 1995            |     0.023627643 |
| Fruits          | 8               | 1995            |      0.10103279 |
| Yogurt          | 3               | 1995            |      0.23711148 |
| Fruits          | 9               | 1996            |      0.24827765 |
| Soap            | 6               | 1995            |      0.31308106 |
| Fruits          | 12              | 1993            |      0.16815352 |
| Pepsi           | 12              | 1995            |      0.18727386 |
| Yogurt          | 6               | 1996            |       0.4651499 |
